cpu_request_m,cpu_request_to_peak_ratio,memory_request_mi,memory_request_to_peak_ratio,method,peak_cpu_m,peak_memory_mi,repeat_index,resource_measurement_source,run_id,workload_id
500,,732,36.6,intent_only,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_small_csv_read-r02,light_small_csv_read
500,,732,36.6,intent_only,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_small_csv_read-r03,light_small_csv_read
500,,732,34.857143,intent_only,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_small_csv_read-r04,light_small_csv_read
500,,732,36.6,context_aware,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_small_csv_read-r00,light_small_csv_read
500,,732,34.857143,context_aware,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_small_csv_read-r01,light_small_csv_read
500,,732,34.857143,context_aware,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_small_csv_read-r02,light_small_csv_read
500,,732,34.857143,context_aware,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_small_csv_read-r03,light_small_csv_read
500,,732,36.6,context_aware,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_small_csv_read-r04,light_small_csv_read
100,,244,11.619048,static_manual,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_visual_aggregation-r00,light_visual_aggregation
100,,244,11.619048,static_manual,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_visual_aggregation-r01,light_visual_aggregation
100,,244,11.619048,static_manual,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_visual_aggregation-r02,light_visual_aggregation
100,,244,11.619048,static_manual,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_visual_aggregation-r03,light_visual_aggregation
100,,244,12.2,static_manual,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_visual_aggregation-r04,light_visual_aggregation
